d_loss,epoch,g_loss,gradient_penalty,sparsity_penalty,step,val_d_loss,val_g_loss
,0,,,,304,0.6386502981185913,0.8680911064147949
0.6088563799858093,0,1.1020182371139526,0.8041083216667175,0.004273846745491028,304,,
,1,,,,609,0.6857230067253113,0.8511258959770203
0.7794550657272339,1,0.8760344982147217,0.9296398758888245,0.006653504446148872,609,,
,2,,,,914,0.699967086315155,0.7496845126152039
0.7705615758895874,2,0.8609492182731628,0.9111394882202148,0.006254781968891621,914,,
,3,,,,1219,0.6745626330375671,0.8074431419372559
0.7732701301574707,3,0.8557519912719727,0.9101983904838562,0.006235730368643999,1219,,
,4,,,,1524,0.6818441152572632,0.8089637160301208
0.7745931148529053,4,0.8551103472709656,0.9131720066070557,0.0062603410333395,1524,,
,5,,,,1829,0.7041934132575989,0.7264645099639893
0.7774657607078552,5,0.8417737483978271,0.9209122657775879,0.00618811696767807,1829,,
,6,,,,2134,0.6750009059906006,0.8228144645690918
0.7787976861000061,6,0.8324739336967468,0.9315572381019592,0.006154040340334177,2134,,
,7,,,,2439,0.69764244556427,0.7815407514572144
0.7812343239784241,7,0.8239205479621887,0.9412429928779602,0.006113835144788027,2439,,
,8,,,,2744,0.6843321919441223,0.8119816184043884
0.7810724377632141,8,0.8252100944519043,0.943967878818512,0.006106018554419279,2744,,
,9,,,,3049,0.7015907168388367,0.6878242492675781
0.7803178429603577,9,0.8304253816604614,0.9408653378486633,0.006078123580664396,3049,,
,10,,,,3354,0.6945455074310303,0.7695335745811462
0.7813843488693237,10,0.8230100870132446,0.9466958045959473,0.006054049823433161,3354,,
